amount,transaction_type,merchant_category,location,card_type,hour,previous_transactions,is_foreign_transaction,fraud
167721,Online,Electronics,Same City,Credit,3,21,No,1
143064,Online,Food,Same City,Credit,16,19,No,1
52224,POS,Electronics,Same City,Credit,8,25,No,0
199016,ATM,Electronics,Same City,Credit,10,3,No,0
25453,Online,Food,Same City,Credit,14,17,No,0
99330,Online,Food,Different City,Debit,11,18,No,0
18333,Online,Shopping,Same City,Credit,7,27,No,0
72969,POS,Fuel,Same City,Credit,21,8,No,0
179287,POS,Gaming,Same City,Debit,5,14,No,1
167872,POS,Shopping,Same City,Debit,1,7,No,1
82794,Online,Shopping,Different State,Credit,22,10,No,0
130970,Online,Fuel,Same City,Credit,7,23,No,1
68976,POS,Food,Different City,Credit,4,16,No,1
198223,Online,Shopping,Different City,Debit,13,19,No,0
100139,POS,Travel,Same City,Credit,0,21,No,1
178806,ATM,Electronics,Different City,Credit,9,13,No,0
950,International,Fuel,Same City,Credit,5,16,Yes,0
164018,Online,Gaming,Different City,Credit,5,17,No,1
139129,International,Gaming,Same City,Credit,11,28,Yes,1
80712,Online,Shopping,Different City,Credit,23,15,No,0
199487,POS,Shopping,Different City,Debit,5,8,No,1
159114,Online,Shopping,Same City,Debit,6,22,No,1
176178,POS,Food,Same City,Credit,7,2,No,0
154321,POS,Gaming,Same City,Debit,1,7,No,1
8334,ATM,Shopping,Same City,Debit,6,17,No,0
149795,POS,Shopping,Same City,Credit,3,3,No,1
92976,Online,Travel,Different City,Debit,20,3,No,0
190996,Online,Fuel,Same City,Credit,14,4,No,0
73118,POS,Fuel,Same City,Debit,17,3,No,0
141811,ATM,Jewellery,International,Debit,5,13,Yes,1
56132,ATM,Fuel,Same City,Credit,12,8,No,0
119377,Online,Electronics,Different City,Debit,21,22,No,1
49880,Online,Jewellery,Different City,Credit,23,10,No,0
153238,POS,Fuel,Same City,Credit,16,2,No,0
18062,POS,Electronics,Same City,Credit,18,7,No,0
10518,POS,Food,Different City,Credit,8,6,No,0
82461,Online,Food,Different City,Credit,10,29,No,1
19116,Online,Gaming,Different City,Credit,17,6,No,0
34822,International,Fuel,Different State,Credit,5,14,Yes,0
184528,Online,Jewellery,Different State,Credit,21,26,No,1
174003,Online,Fuel,Same City,Debit,23,17,No,0
73960,POS,Electronics,Same City,Debit,8,16,No,0
13416,Online,Food,Same City,Credit,4,20,No,0
